review_id,product_name,brand,category,rating,price,review_title,review_text,review_date,sentiment_label,feature_tags
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),Amazonbasics,Consumer Product,2,0,Little Savings For A Lot Of Frustration,"I purchased a box of 48 AA batteries and the first 2 that I tried to use were dead the other 2 in the blister 4 pack worked fine, but a 50 failure rate is unacceptable. I will update how the rest of the box works as I try to use them. I will purchase a name brand next time.",2016-09-14,negative,['General']
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),Amazonbasics,Consumer Product,3,0,dont last as long as I expected them to.,dont last as long as I expected them to. they are in our fire stick remotes and i have to change them about every 2 or 3 months,2016-01-04,mixed,['General']
AVzYlGkFvKc47QAVeZRI,"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Marine Blue - with Special Offers",Amazon,Tablet / E-reader,3,0,Kindle Fire,"Good tablet for Amazon lovers, not so good for Android lovers.Too much Amazon advertising ad nauseum.. Can't get Google Play apps. Miss google. Returned to store.thanks",2018-01-23,mixed,['General']
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),Amazonbasics,Consumer Product,1,0,One Star,These did not fit my device...,2016-09-19,negative,['General']
AVpe7xlELJeJML43ypLz,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,Amazonbasics,Consumer Product,4,0,Four Stars,"I think the batteries work as well as any other major band. overall it is a good deal, and I will buy again.",2015-07-13,positive,['General']
AVzYlGkFvKc47QAVeZRI,"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Marine Blue - with Special Offers",Amazon,Tablet / E-reader,3,0,"Amazon - Fire HD 8 - 8"" - Tablet - 16GB 7th Genera","Take your personal assistant with you wherever you go with this Amazon Fire HD 8 tablet featuring Alexa voice-activated cloud service. The slim design of the tablet is easy to handle, and the ample 8-inch screen is ideal for work or play. This Amazon Fire HD 8 features super-sharp high-definition graphics for immersive streaming.",2018-01-19,mixed,['General']
AVpjEN4jLJeJML43rpUe,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers",Amazon,Tablet / E-reader,4,0,Great buy,I bought this for my mom on her birthday. She loves it. It big enough and easy for her to navigate.,2017-02-17,positive,['General']
AVqVGWQDv8e3D1O-ldFr,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Tablet / E-reader,4,0,Very Good,It's very good product and I recommended this to buy it.,2016-12-07,positive,['General']
AVpe7xlELJeJML43ypLz,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,Amazonbasics,Consumer Product,5,0,Five Stars,great quality. Holds nice long charge,2015-11-03,positive,['General']
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),Amazonbasics,Consumer Product,5,0,AmazonBasics AAA battery,"Initial charge upon receipt was higher than the name brand batteries I usually get, I'll definitely be ordering more when these are about gone!",2015-07-18,positive,['General']
